timestamp,unix,symbol,timeframe,type,entry,open,high,low,atr,rsi,ema8,ema21,ema_diff,is_trending,is_volatile,bull_score,bear_score,outcome,pnl,sl,tp,hold_candles
2026-03-08T22:10:00.000Z,1773007800,BOOM1000,300,SELL,14194.664,14190.096,14195.262,14188.199,5.70557,31.11,14192.05212,14202.91564,-10.86352,0,1,2,0,TP,8.55836,14200.36957,14186.10564,300
2026-03-08T22:20:00.000Z,1773008400,BOOM1000,300,SELL,14206.37,14202.824,14208.029,14201.928,6.56329,100,14194.58363,14202.07499,-7.49136,0,1,2,0,TP,9.84493,14212.93329,14196.52507,300
2026-03-08T22:30:00.000Z,1773009000,BOOM1000,300,SELL,14197.656,14200.29,14200.29,14197.656,6.42907,0,14197.58214,14202.12083,-4.53869,0,1,0,1,SL,-6.42907,14204.08507,14188.01239,300
2026-03-08T22:40:00.000Z,1773009600,BOOM1000,300,SELL,14189.594,14191.905,14191.905,14189.594,6.39093,,14196.05703,14200.69061,-4.63359,0,1,0,2,SL,-6.39093,14195.98493,14180.00761,300
2026-03-08T22:50:00.000Z,1773010200,BOOM1000,300,SELL,14193.23,14195.823,14195.823,14193.23,6.35457,0,14194.61581,14199.20039,-4.58458,0,1,2,0,TP,-3.04564,5758.13857,5763.21464,0
2026-03-08T23:05:00.000Z,1773011100,BOOM1000,300,SELL,14221.292,14221.292,14221.292,14221.292,8.60686,99.97,14198.88754,14199.66136,-0.77382,0,1,2,0,TP,12.91029,14229.89886,14208.38171,300
2026-03-08T23:40:00.000Z,1773013200,BOOM1000,300,SELL,14192.919,14192.919,14192.919,14192.919,6.90657,,14201.26183,14201.89776,-0.63593,0,1,0,2,TP,-3.47518,5758.14721,5763.93918,300
2026-03-08T23:50:00.000Z,1773013800,BOOM1000,300,SELL,14205.741,14205.774,14205.774,14205.741,8.16807,99.97,14200.09567,14201.16035,-1.06468,0,1,2,0,TP,12.25211,14213.90907,14193.48889,300
2026-03-09T00:55:00.000Z,1773017700,BOOM1000,300,SELL,14180.712,14180.712,14180.712,14180.712,5.19543,,14191.58153,14196.83407,-5.25254,0,1,0,2,TP,-5.73321,5746.70186,5756.25721,0
2026-03-09T01:05:00.000Z,1773018300,BOOM1000,300,SELL,14172.168,14172.196,14172.196,14172.168,5.20157,,14184.6533,14192.90689,-8.25359,0,1,0,2,TP,7.80236,14177.36957,14164.36564,300
2026-03-09T01:25:00.000Z,1773019500,BOOM1000,300,SELL,14178.478,14178.539,14178.539,14178.478,5.33579,83.41,14174.39767,14184.94954,-10.55187,0,1,2,0,TP,8.00368,14183.81379,14170.47432,300
2026-03-09T01:35:00.000Z,1773020100,BOOM1000,300,SELL,14178.715,14178.769,14178.769,14178.715,5.60507,99.66,14175.35432,14183.50844,-8.15412,0,1,2,0,SL,-5.60507,14184.32007,14170.30739,0
2026-03-09T02:00:00.000Z,1773021600,BOOM1000,300,SELL,14208.976,14208.976,14208.976,14208.976,8.71564,100,14183.33076,14184.00469,-0.67393,0,1,2,0,TP,13.07346,14217.69164,14195.90254,300
2026-03-09T02:30:00.000Z,1773023400,BOOM1000,300,SELL,14198.384,14198.384,14198.384,14198.384,8.01214,,14200.94072,14194.35338,6.58734,0,1,0,2,TP,-4.85732,5748.42479,5756.52032,300
2026-03-09T02:45:00.000Z,1773024300,BOOM1000,300,SELL,14185.483,14185.483,14185.483,14185.483,7.33743,,14194.67467,14193.15936,1.51531,0,1,0,2,SL,2.72421,5754.09479,5760.90532,0
2026-03-09T03:00:00.000Z,1773025200,BOOM1000,300,SELL,14172.866,14172.866,14172.866,14172.866,7.30786,,14184.96712,14189.08289,-4.11577,0,1,0,2,SL,-7.30786,14180.17386,14161.90421,0
2026-03-09T03:10:00.000Z,1773025800,BOOM1000,300,SELL,14192.762,14192.765,14192.765,14192.762,5.54243,0,14188.83784,14190.09955,-1.26171,0,1,0,1,TP,8.31364,14198.30443,14184.44836,300
2026-03-09T03:20:00.000Z,1773026400,BOOM1000,300,SELL,14184.404,14184.426,14184.426,14184.404,5.55814,,14187.82264,14189.46272,-1.64008,0,1,0,2,TP,-5.82643,5729.46871,5739.17943,0
2026-03-09T03:30:00.000Z,1773027000,BOOM1000,300,SELL,14175.655,14175.678,14175.678,14175.655,5.55514,,14183.7657,14187.42436,-3.65866,0,1,0,2,TP,-5.40911,5736.62293,5745.63811,600
2026-03-09T03:50:00.000Z,1773028200,BOOM1000,300,SELL,14190.877,14190.877,14190.877,14190.877,7.2265,99.98,14180.14008,14184.14983,-4.00975,0,1,2,0,TP,10.83975,14198.1035,14180.03725,300
2026-03-09T04:15:00.000Z,1773029700,BOOM1000,300,SELL,14241.855,14241.855,14241.855,14241.855,10.38593,0,14205.84129,14194.15234,11.68895,0,1,0,0,TP,-4.20032,5727.96279,5734.96332,300
2026-03-09T04:45:00.000Z,1773031500,BOOM1000,300,SELL,14225.187,14225.187,14225.187,14225.187,10.62414,,14225.59627,14210.75768,14.83859,0,1,0,1,TP,-4.67068,5732.75421,5740.53868,0
2026-03-09T05:05:00.000Z,1773032700,BOOM1000,300,SELL,14208.551,14208.551,14208.551,14208.551,8.96457,,14218.02128,14211.93244,6.08884,0,1,0,1,TP,-2.85054,5744.26664,5749.01754,300
2026-03-09T06:10:00.000Z,1773036600,BOOM1000,300,SELL,14166.258,14166.258,14166.258,14166.258,4.51886,,14179.68821,14192.45563,-12.76742,0,1,0,2,SL,-4.51886,14170.77686,14159.47971,300
2026-03-09T06:20:00.000Z,1773037200,BOOM1000,300,SELL,14158.311,14158.331,14158.331,14158.311,4.474,,14171.86277,14186.8257,-14.96293,0,1,0,2,TP,-3.18911,5760.15893,5765.47411,0
2026-03-09T06:30:00.000Z,1773037800,BOOM1000,300,SELL,14149.77,14149.772,14149.772,14149.77,3.88929,,14163.86377,14180.74265,-16.87888,0,1,0,2,SL,-3.88929,14153.65929,14143.93607,300
2026-03-09T06:40:00.000Z,1773038400,BOOM1000,300,SELL,14141.591,14141.607,14141.607,14141.591,3.86514,,14155.77784,14174.2882,-18.51036,0,1,0,2,SL,-3.86514,14145.45614,14135.79329,300
